pubDate,title,description
2025-12-15 13:08:00,"네이버, 7일간 '멤버십 특가전'…인기 가전 최대 55% 할인","넷플릭스 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만원 권) 등의 경품 이벤트를 준비했다. 각 디지털 콘텐츠를 이용하고 있는 멤버십 사용자라면 응모 가능하다.  또한, 연말 배달 및... "
2025-12-15 12:58:00,"네이버, 일주일간 'BIG 멤버십데이' 열고 '단골' 혜택 강화한다","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 다채로운 혜택을 제공하고자 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만 원 권) 등의 경품 이벤트를... "
2025-12-15 12:48:00,"배우 차학연, 日 팬미팅 'Channel A!' 성료! 뜨거운 환호 속 특별한 추억...","또한 '케이팝 데몬 헌터스' 속 사자보이즈의 '소다 팝' 댄스 커버 무대는 팬들의 환호를 절정에 달하게 만들었다. 차학연은 팬미팅 말미에 &quot;함께 해서 행복하고 즐거운 시간이었다&quot;며, &quot;늘 응원해 주시는 팬분들께 정말... "
2025-12-15 12:34:00,"국립고궁박물관, 올해 외국인 관람객 10명 중 3명..왜?","케이팝 데몬 헌터스(케데헌)의 전세계적 열풍 등 영향을 받은 것으로 풀이된다. 15일 국립고궁박물관에 따르면 지난 1월부터 지난달까지 박물관을 찾은 관람객은 총 75만9069명으로, 이 중 외국인은 21만9979명(29.0%)이었다.... "
2025-12-15 12:02:00,'케이스타뉴스룸' 신규진 &quot;최애=스테이씨·빅뱅 GD…GD 형처럼 롱런하고...,"이날 방송에서는 'K-POP 스타'를 주제로, 넷플릭스 애니메이션 '케이팝 데몬 헌터스'와 내년 20세를 맞는 장수 그룹 빅뱅의 기록과 논란, 앞으로의 행보를 짚었다. 신규진은 &quot;'신규진' 하면 음악을 빼놓고 말할 수 없을... "
2025-12-15 11:24:00,2025년 소통 키워드 '에겐남'이 바꾼 관계 중심 대화법,6위 '케이팝데몬헌터스(케데헌)(1618864건)'는 강한 세계관과 밈 확산을 앞세운 K-콘텐츠 화제를 불러일으켰다. 국민 생활과 직접 연결된 정책인 '민생회복 소비쿠폰(997219건)'은 체감형 논의가 활발히 이어지며 7위에... 
2025-12-15 11:20:00,"서울관광재단, '서울굿즈 행운 상점' 팝업스토어 운영","이외에도 2025년 서울이 주목하는 아티스트 3인 강준영, 그라플렉스, 김지희와 함께 제작한 아트콜라보 굿즈, ‘케이팝 데몬 헌터스’의 흥행에 발맞추어 제작된 K-Food 메모지·키링 등 다채로운 굿즈를 선보일 계획이다.... "
2025-12-15 11:18:00,"한국PR협회, 올해 소통 키워드로 1위 ‘에겐남’ 선정","이어 ‘개인정보 유출’(521만9천505건)과 ‘탄핵’(235만9천721건)이 각각 4위와 5위였고, ‘케이팝데몬헌터스(케데헌)’(161만8천864건), ‘민생회복 소비쿠폰’(99만7천219건), ‘3대 특검’(95만4천271건), ‘APEC’... "
2025-12-15 11:17:00,[2025 유통업계 결산] 생존 위한 리셋의 해…격변 속 ‘구조 재설계’ 총...,"식품업계에서는 CJ, 농심, 오뚜기 등이 K-팝 아티스트 협업 패키지를 앞세워 북미와 동남아 시장에서 판매량을 끌어올렸고, 특히 농심은 넷플릭스 애니메이션 ‘케이팝 데몬 헌터스’ 협업 마케팅을 펼쳐 해외 비중을... "
2025-12-15 11:10:00,광양제철소 '500년 만에 돌아온 조선서화' 달마도 등 38점 특별전,"또 조선 민화 속 호랑이가 최근 '케이팝 데몬 헌터스'의 인기로 주목받고 있는 가운데, 이번 전시에서는 정재 홍장중의 '수하호도'(19세기)를 통해 호랑이의 매력적인 모습을 만날 수 있다.광양제철소 관계자는 &quot;이번... "
